variable,pretty_name,pretty_name_short
AI_total_cancer_area_.,(AI) Cancer Area [%],
Path_Acute.infflammation,(Path) Acute Inflammation,
Path_Cautery.Crush.artifact_.average,(Path) Cautery/Crush Artifact [numeric],(Path) Cautery/Crush Art. [#]
AI_scanning_artifacts_area_.,(AI) Scanning Artifacts [%],(AI) Scan. Art. [%]
Path_Tetriary.Lymphoid.Structures,(Path) Tertiary Lymphoid Structures,(Path) Tert. Lymph. Struct.
TCC Path-AI Discrepancy,TCC "Path - AI" Discrepancy,(TCC) Path - AI Disc.
AI_total_tumor_area_.,(AI) Tumor Area [%],
AI_._of_fibroblasts_in_tumor,(AI) Fibroblasts in Tumor [%],(AI) Fibro. in Tum. [%]
AI_._of_immune_cells_in_tumor,(AI) Immune Cells in Tumor [%],(AI) Immune Cells in Tum. [%]
Path_Tumor.Infiltrating.lymphocytes,(Path) Tumor Infiltrating Lymphocytes,(Path) TILs
